"","DIDF","EOF","ANX","AVO","HOME","KAMF"
"ALEX1",0.759,NA,NA,NA,NA,NA
"ALEX3",0.444,NA,NA,NA,NA,NA
"ALEX5",0.67,NA,NA,NA,NA,NA
"ALEX6",0.632,NA,NA,NA,NA,NA
"ALEX7",0.702,NA,NA,NA,NA,NA
"ALEX10",0.729,NA,NA,NA,NA,NA
"ALEX11",0.595,NA,NA,NA,NA,NA
"ALEX2",0.715,NA,NA,NA,NA,NA
"ALEX4",0.596,NA,NA,NA,NA,NA
"ALEX8",0.676,NA,NA,NA,NA,NA
"ALEX9",0.458,NA,NA,NA,NA,NA
"ALEX12",NA,0.151,NA,NA,NA,NA
"ALEX13",NA,0.35,NA,NA,NA,NA
"ALEX14",NA,0.51,NA,NA,NA,NA
"ALEX15",NA,0.477,NA,NA,NA,NA
"ALEX16",NA,0.538,NA,NA,NA,NA
"ECR1",NA,NA,0.709,NA,NA,NA
"ECR2",NA,NA,0.828,NA,NA,NA
"ECR3",NA,NA,0.829,NA,NA,NA
"ECR4",NA,NA,0.794,NA,NA,NA
"ECR5",NA,NA,0.584,NA,NA,NA
"ECR6",NA,NA,0.637,NA,NA,NA
"ECR7",NA,NA,0.691,NA,NA,NA
"ECR8",NA,NA,0.741,NA,NA,NA
"ECR9",NA,NA,0.546,NA,NA,NA
"ECR10",NA,NA,0.639,NA,NA,NA
"ECR11",NA,NA,0.212,NA,NA,NA
"ECR12",NA,NA,0.674,NA,NA,NA
"ECR13",NA,NA,0.612,NA,NA,NA
"ECR14",NA,NA,0.548,NA,NA,NA
"ECR15",NA,NA,0.636,NA,NA,NA
"ECR16",NA,NA,0.509,NA,NA,NA
"ECR17",NA,NA,0.569,NA,NA,NA
"ECR18",NA,NA,0.53,NA,NA,NA
"ECR19",NA,NA,NA,0.57,NA,NA
"ECR20",NA,NA,NA,0.721,NA,NA
"ECR21",NA,NA,NA,0.445,NA,NA
"ECR22",NA,NA,NA,0.734,NA,NA
"ECR23",NA,NA,NA,0.652,NA,NA
"ECR24",NA,NA,NA,0.633,NA,NA
"ECR25",NA,NA,NA,0.56,NA,NA
"ECR26",NA,NA,NA,0.757,NA,NA
"ECR27",NA,NA,NA,0.587,NA,NA
"ECR28",NA,NA,NA,0.714,NA,NA
"ECR29",NA,NA,NA,0.66,NA,NA
"ECR30",NA,NA,NA,0.691,NA,NA
"ECR31",NA,NA,NA,0.691,NA,NA
"ECR32",NA,NA,NA,0.6,NA,NA
"ECR33",NA,NA,NA,0.423,NA,NA
"ECR34",NA,NA,NA,0.477,NA,NA
"ECR35",NA,NA,NA,0.647,NA,NA
"ECR36",NA,NA,NA,0.619,NA,NA
"HOME1",NA,NA,NA,NA,0.758,NA
"HOME2",NA,NA,NA,NA,0.794,NA
"HOME3",NA,NA,NA,NA,0.712,NA
"HOME4",NA,NA,NA,NA,0.759,NA
"HOME5",NA,NA,NA,NA,0.772,NA
"HOME6",NA,NA,NA,NA,0.709,NA
"HOME7",NA,NA,NA,NA,0.538,NA
"HOME8",NA,NA,NA,NA,0.745,NA
"HOME9",NA,NA,NA,NA,0.692,NA
"KAMF1",NA,NA,NA,NA,NA,0.605
"KAMF2",NA,NA,NA,NA,NA,0.744
"KAMF3",NA,NA,NA,NA,NA,0.693
"KAMF4",NA,NA,NA,NA,NA,0.701
"KAMF5",NA,NA,NA,NA,NA,0.802
"KAMF6",NA,NA,NA,NA,NA,0.674
"KAMF7",NA,NA,NA,NA,NA,0.658
