Participant,Sub-group,Age (Months),Score_Mother,Score_Aunt/Friend
1,Aunt,6.163934426,0.007966028,0.033570326
2,Aunt,6.163934426,0.05748538,0.179679618
3,Aunt,6.262295082,0.115642941,-0.031762025
4,Aunt,6.426229508,0.100900017,-0.052754318
5,Aunt,6.327868852,-0.040648369,0.122572562
6,Aunt,6.163934426,0.17987254,-0.00525832
7,Aunt,6.819672131,0.186231864,-0.319214892
8,Aunt,6.491803279,0.354331962,-0.222640623
9,Aunt,6.06557377,0.026090134,0.094433104
10,Aunt,6.327868852,0.146239394,-0.170892174
11,Friend,6.819672131,-0.12171479,0.052028013
12,Friend,6.229508197,0.094350908,0.054303303
13,Friend,6.819672131,0.309622196,-0.458109969
14,Friend,6.983606557,0.115695062,-0.114236878
15,Friend,6.721311475,0.081162852,-0.043372402
16,Friend,6.459016393,0.267800649,0.003159729
17,Friend,6.491803279,0.157594591,0.112048242
18,Friend,6.295081967,0.019070977,-0.08188594
19,Friend,6.032786885,-0.086541213,0.11883726
20,Friend,6.327868852,0.072536669,0.203433397
